City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,santa isabel do rio negro,92,BR,1525167739,100,-0.41,-65.02,71.16,3.27
1,arraial do cabo,0,BR,1525165200,88,-22.97,-42.02,64.4,4.72
2,new norfolk,0,AU,1525165200,39,-42.78,147.06,62.6,10.29
3,barcelona,75,ES,1525165200,81,41.38,2.18,50.0,3.36
4,punta arenas,40,CL,1525165200,100,-53.16,-70.91,30.2,8.05
5,tessalit,0,ML,1525167640,12,20.2,1.01,86.64,6.4
6,albany,90,US,1525164840,87,42.65,-73.75,42.8,2.37
7,port alfred,0,ZA,1525167599,76,-33.59,26.89,72.6,11.65
8,atuona,76,PF,1525167562,99,-9.8,-139.03,81.24,18.25
9,tarakan,20,ID,1525167742,86,3.3,117.63,85.74,4.5
10,mataura,56,NZ,1525167547,89,-46.19,168.86,42.54,6.51
11,yerbogachen,24,RU,1525167743,35,61.28,108.01,58.65,11.99
12,ushuaia,0,AR,1525165200,100,-54.81,-68.31,39.2,8.05
13,ubajara,64,BR,1525167743,94,-3.85,-40.92,72.24,3.71
14,boende,20,CD,1525167685,81,-0.28,20.88,81.96,3.15
15,karratha,0,AU,1525167603,30,-20.74,116.85,88.8,10.76
16,souillac,0,FR,1525165200,71,45.6,-0.6,53.6,5.82
17,balabac,0,PH,1525167744,93,7.99,117.06,88.35,3.94
18,rikitea,8,PF,1525167565,100,-23.12,-134.97,77.91,2.37
19,kalmunai,20,LK,1525167745,100,7.42,81.82,81.87,4.61
20,jalu,0,LY,1525167565,52,29.03,21.55,77.19,8.19
21,chuy,56,UY,1525167571,95,-33.69,-53.46,58.56,6.29
22,ilulissat,56,GL,1525164600,57,69.22,-51.1,21.2,17.22
23,geraldton,90,CA,1525165200,81,49.72,-86.95,42.8,5.61
24,cap-chat,64,CA,1525167747,98,49.1,-66.68,35.16,5.5
25,pangnirtung,8,CA,1525167705,71,66.15,-65.72,-6.42,6.85
26,bafut,20,CM,1525167748,95,6.09,10.11,72.42,3.04
27,pisco,0,PE,1525165200,82,-13.71,-76.2,66.2,9.17
28,hithadhoo,68,MV,1525167555,99,-0.6,73.08,85.11,16.8
29,lithgow,20,AU,1525165200,62,-33.48,150.16,59.0,2.15
